show_id,punctuation,type,title,director,cast,country,release_year,rating,duration_int,duration_type,listed_in
ns542,3.6,movie,truckbhar swapna,pramod pawar,"makrand deshpande, kranti redkar, mukesh rishi, manoj joshi, smita tambe, aaditi pohankar, sahil gilbile, jyoti joshi",india,2018,tv-14,128,min,"comedies, dramas, international movies"
ns5420,3.6,movie,you get me,brent bonacorso,"bella thorne, halston sage, taylor john smith, nash grier, anna akana, kathryn morris, brigid brannagh, kimberly williams-paisley, tyler hanson",united states,2017,tv-ma,89,min,"dramas, thrillers"
ns5421,3.5,movie,dangal,nitesh tiwari,"aamir khan, sakshi tanwar, fatima sana shaikh, sanya malhotra, aparshakti khurana, zaira wasim, suhani bhatnagar, ritwik sahore",india,2016,tv-pg,161,min,"dramas, international movies, sports movies"
ns5422,3.6,tv show,young & hungry,,"emily osment, kym whitley, rex lee, jonathan sadowski, aimee carrero, jesse mccartney, ashley tisdale",united states,2017,tv-14,5,season,tv comedies
ns5423,3.6,tv show,pac-man and the ghostly adventures,,"erin mathews, sam vincent, andrea libman, ashleigh ball, ian james corlett, brian drummond, lee tockar, matt hill","united states, japan, canada",2014,tv-y7,2,season,"kids' tv, tv comedies"
ns5424,3.5,movie,puss in book: trapped in an epic tale,"roy burdine, johnny castuciano","eric bauza, jayma mays, maria bamford, jeff bennett, grey griffin, carla jimenez, paul rugg, joshua rush",united states,2017,tv-y7,24,min,"children & family movies, comedies"
ns5425,3.6,movie,rory scovel tries stand-up for the first time,scott moran,rory scovel,united states,2017,tv-ma,66,min,stand-up comedy
ns5426,3.7,tv show,aquarius,,"david duchovny, gethin anthony, grey damon, emma dumont, claire holt, michaela mcmanus, brían f. o'byrne, david meunier, ambyr childers, tara lynne barr, whitney rose pynn, jason ralph",united states,2016,tv-ma,2,season,"crime tv shows, tv dramas"
ns5427,3.6,movie,counterpunch,jay bulger,,united states,2017,tv-ma,91,min,"documentaries, sports movies"
ns5428,3.5,movie,what the health,"kip andersen, keegan kuhn",,united states,2017,tv-pg,92,min,documentaries
ns5429,3.5,tv show,world of winx,iginio straffi,"haven paschall, alysha deslorieux, jessica paquet, eileen stevens, kate bristol, saskia maarleveld, brittany pressley, billy bob thompson, marc thompson, suzy myers, jason griffith, samara naeymi, wayne grayson, alyson leigh rosenfeld, abe goldfarb, lisa flanagan","italy, united states",2017,tv-y7,2,season,kids' tv
ns543,3.5,movie,ujala,naresh saigal,"mala sinha, shammi kapoor, raaj kumar, leela chitnis, dhumal, kumkum",india,1959,tv-14,143,min,"dramas, international movies"
ns5430,3.6,movie,kanavu variyam,arun chidambaram,"jiya anil manne, arun chidambaram, t.p. gajendran, gnanasambandam, m. ilavarasu, yog japee, mayilsamy, black pandi",india,2017,tv-pg,104,min,"comedies, dramas, international movies"
ns5431,3.6,movie,marco luque: tamo junto,caio cobra,marco luque,brazil,2017,tv-ma,73,min,stand-up comedy
ns5432,3.5,movie,the russian revolution,cal seville,jonathan kydd,united kingdom,2017,tv-pg,47,min,documentaries
ns5433,3.5,movie,"oh, hello on broadway",michael john warren,"nick kroll, john mulaney",united states,2017,tv-ma,102,min,stand-up comedy
ns5434,3.5,tv show,28 moons,,"jin-sung yang, kyu-jong kim, tae-hwan kang, geummi",south korea,2016,tv-pg,1,season,"international tv shows, korean tv shows, romantic tv shows"
ns5435,3.5,tv show,magic phone,,"jin-woo kim, min-ji park, in-jun gwak, gi-du kim",south korea,2016,tv-pg,1,season,"international tv shows, korean tv shows, romantic tv shows"
ns5436,3.5,tv show,man to man,chang-min lee,"hae-jin park, sung-woong park, min-jung kim, jung-an chae, jung-hoon yeon, hyun-sung jang, man-sik jung, shin-il kang, ho-jin chun, in-ho tae",south korea,2017,tv-14,1,season,"crime tv shows, international tv shows, korean tv shows"
ns5437,3.5,tv show,my little baby,,"ji-ho oh, soo-kyung lee, min-jae kim, ji-hyun nam",south korea,2016,tv-pg,1,season,"crime tv shows, international tv shows, korean tv shows"
ns5438,3.5,tv show,singles villa,,"joe cheng, lulu xu, jiro wang, viann zhang, han chengyu",china,2015,tv-14,1,season,"international tv shows, romantic tv shows, tv dramas"
ns5439,3.5,tv show,under the black moonlight,,"tae-hyun nam, soo-yeon kim, seo-ra kim, tae-hwan kang, young-jo yang",south korea,2016,tv-14,1,season,"international tv shows, korean tv shows, tv dramas"
ns544,3.5,tv show,undercover,,"tom waes, anna drijver, frank lammers, elise schaap, raymond thiry, kris cuppens, kevin janssens, huub smit","belgium, netherlands",2020,tv-ma,2,season,"crime tv shows, international tv shows, tv action & adventure"
ns5440,3.5,tv show,my only love song,,"seung-yeon gong, jong-hyun lee, yeon-seo kim, bo-hyun ahn, jai-jin lee, joo-hyung park",south korea,2017,tv-ma,1,season,"international tv shows, korean tv shows, romantic tv shows"
ns5441,3.5,movie,shimmer lake,oren uziel,"benjamin walker, rainn wilson, rob corddry, adam pally, ron livingston, john michael higgins, wyatt russell, stephanie sigman, mark rendall, isabel dove, angela vint","canada, united states",2017,tv-ma,87,min,"dramas, independent movies, thrillers"
ns5442,3.5,movie,the wishing tree,manika sharma,"shabana azmi, makrand deshpande, harshpreet kaur, aabhas yadav, shivani joshi, saurabh shukla",india,2017,tv-14,117,min,"children & family movies, dramas, music & musicals"
ns5443,3.4,movie,headshot,"timo tjahjanto, kimo stamboel","iko uwais, chelsea islan, julie estelle, sunny pang, very tri yulisman, david hendrawan, zack lee, yayu unru, ganindra bimo",indonesia,2016,tv-ma,119,min,"action & adventure, international movies"
